,City Name,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,San Luis,-33.3,27.94,18,0,1.59
1,Riyadh,24.63,10.0,76,0,1.0
2,Glens Falls,43.31,0.99,69,75,4.1
3,Rawson,-43.3,14.66,60,0,4.95
4,Camopi,3.17,28.09,61,2,2.48
5,Alexander City,32.94,17.27,52,40,2.1
6,Badvel,14.74,20.86,96,62,0.99
7,Gopalpur,24.18,13.84,54,0,2.08
8,Ranong,9.96,23.73,86,32,2.77
9,Sao Filipe,14.9,21.17,61,100,9.38
10,Namatanai,-3.66,28.88,75,72,2.76
11,Khandyga,62.65,-18.55,96,100,2.22
12,Syamzha,60.02,-5.27,92,100,3.45
13,Walvis Bay,-22.95,17.49,88,0,2.6
14,Ilulissat,69.22,-19.0,64,75,7.2
15,Indianola,40.24,7.88,31,1,9.8
16,Istmina,5.16,31.0,66,40,2.6
17,Padang,-0.92,20.14,91,89,2.3
18,Margate,-43.03,17.05,67,75,1.5
19,Omboue,-1.57,24.91,91,100,1.39
20,Lisakovsk,52.55,-12.6,97,93,1.24
21,Leca da Palmeira,41.19,6.32,93,55,0.5
22,Aviles,43.55,7.26,81,100,1.5
23,Minab,27.15,13.0,93,0,2.1
24,Sosnovo-Ozerskoye,52.53,-21.96,100,100,1.9
25,Vrangel,42.73,1.24,76,100,9.86
26,Portland,43.66,-5.03,73,90,2.6
27,Banda Aceh,5.56,21.43,79,93,2.02
28,Faya,18.39,14.0,54,0,2.6
29,Karangampel,-6.46,26.1,84,95,4.28
30,Nanhai,30.13,2.78,96,100,6.53
31,Najran,17.54,15.0,67,0,1.5
32,Naze,5.43,27.0,69,100,1.0
33,Hambantota,6.12,26.64,80,64,10.27
34,Sept-Iles,50.2,-14.43,65,20,1.5
35,Lebedinyy,58.52,-13.69,93,99,4.95
36,Bemidji,47.48,0.07,55,1,3.1
37,Talcahuano,-36.72,19.0,52,0,8.2
38,Yar-Sale,66.83,-14.33,84,0,7.0
39,Axim,4.87,25.29,68,13,1.36
40,Eydhafushi,5.1,27.91,75,100,8.38
41,Aginskoye,51.11,-17.92,92,0,1.91
42,Tallahassee,30.44,19.23,34,1,1.5
43,Tual,-5.67,28.33,73,100,3.56
44,Igrim,63.19,-13.92,88,0,4.23
45,Ugoofaaru,5.67,28.08,75,100,9.32
46,Lubango,-14.92,15.23,94,92,2.31
47,Dingle,11.0,22.46,95,89,3.67
48,Tateyama,36.66,2.39,74,75,1.0
49,Yulara,-25.24,23.0,69,100,3.1
50,Bocicoiu Mare,47.96,-10.61,100,20,0.79
51,Emba,34.81,13.69,77,75,8.7
52,Varhaug,58.61,6.29,87,75,6.7
53,Maceio,-9.67,27.0,74,0,5.1
54,Ternate,14.29,24.24,78,20,0.5
55,High Level,58.52,-26.0,75,20,3.1
56,Severo-Kurilsk,50.68,-4.88,75,100,6.89
57,Chipinge,-20.19,20.62,79,33,2.69
58,Indramayu,-4.05,22.61,89,76,1.44
59,Komsomolskiy,67.55,-11.41,92,100,8.8
60,Ribas do Rio Pardo,-20.45,28.21,71,99,0.93
61,Hammerfest,70.66,2.27,80,85,4.1
62,Natal,-5.81,28.0,74,20,7.2
63,Kodiak,39.95,6.03,48,90,2.1
64,Koungheul,13.98,21.68,11,51,3.6
65,Andujar,38.04,6.11,69,0,1.34
66,North Bend,43.41,10.26,87,90,3.6
67,Antofagasta,-23.65,22.0,73,20,6.2
68,Tres Arroyos,-38.38,21.71,35,25,8.33
69,Kidal,18.44,15.4,20,2,4.97
70,Saint Simons,31.14,18.95,42,1,2.6
71,Plettenberg Bay,-34.05,18.85,87,100,3.52
72,Uvalde,29.21,24.63,27,1,2.1
73,Sumbe,-11.2,25.67,83,100,1.7
74,Suchitoto,13.94,29.18,45,20,3.1
75,Taoudenni,22.68,14.21,15,71,4.43
76,Nago,45.88,0.0,86,0,3.6
77,Mwene-Ditu,-7.01,20.01,98,100,2.41
78,Buala,-8.15,28.18,82,56,4.46
79,Great Falls,47.5,3.21,44,75,9.3
80,Vila Franca do Campo,37.72,18.0,93,75,4.6
81,Sarlat-la-Caneda,44.89,2.16,93,90,1.5
82,Gorontalo,0.54,22.74,95,100,1.57
83,San Patricio,-26.98,32.37,43,88,1.26
84,Dzaoudzi,-12.79,27.0,88,90,1.5
85,Grand Gaube,-20.01,25.53,94,75,2.17
86,Nanakuli,21.39,25.23,83,75,5.1
87,Avera,33.19,17.54,48,1,2.6
88,Tuatapere,-46.13,12.78,74,100,3.58
89,Arivonimamo,-19.01,20.0,82,75,3.1
90,Jiutai,44.15,-6.0,79,90,2.0
91,Ovalle,-30.6,23.45,40,0,4.78
92,Biloela,-24.4,23.15,77,16,2.21
93,San Carlos de Bariloche,-41.13,12.0,58,75,12.9
94,Inhambane,-23.87,26.55,76,0,5.99
95,Hirtshals,57.59,6.11,90,100,2.24
96,Canyon,34.98,10.55,20,1,8.2
97,Teahupoo,-17.83,30.0,70,75,2.6
98,Pevek,69.7,-22.98,72,0,2.16
99,Lucapa,-8.42,20.83,92,100,1.32
100,Gazojak,41.19,-0.69,49,92,1.66
101,Thompson,55.74,-18.0,84,90,2.6
102,Jieshou,33.26,3.09,94,100,4.49
103,Hirara,24.8,21.0,77,40,4.6
104,College,64.86,-38.07,73,20,0.83
105,Oranjemund,-28.55,16.27,81,92,4.54
106,Eston,51.15,-4.68,92,90,8.2
107,Sioux Lookout,50.1,-7.0,57,20,3.1
108,Ilheus,-14.79,26.1,82,100,3.36
109,Verkhoyansk,67.55,-27.48,82,100,1.01
110,Awjilah,29.14,9.42,69,0,7.17
111,Rudnya,50.8,-2.96,96,96,1.9
112,Urusha,54.05,-26.74,98,0,0.88
113,Santa Maria,-16.02,24.42,69,75,4.6
114,Porbandar,21.64,23.01,60,0,1.89
115,Leningradskiy,69.38,-22.94,76,0,4.44
116,Paamiut,61.99,-18.34,76,60,6.49
117,Gornopravdinsk,60.06,-9.82,95,100,3.25
118,Katangli,51.71,-12.55,95,98,2.52
119,Kurilsk,45.23,-0.92,88,100,11.9
120,Rocha,-34.48,26.08,30,100,5.9
121,Mahbubabad,17.62,20.16,93,32,2.23
122,Fulton,38.85,9.1,24,90,3.1
123,Balkhash,46.84,-10.08,79,90,2.06
124,Yamada,36.58,2.11,74,75,1.0
125,Freeport,26.54,21.0,60,20,4.6
126,Glenwood Springs,39.55,-3.97,72,1,4.6
127,Kangaba,11.94,20.79,14,38,2.23
128,Cockburn Town,21.46,24.55,83,98,8.17
129,Petropavlovsk-Kamchatskiy,53.05,-2.0,50,100,6.0
130,Kirakira,-10.46,27.48,83,82,3.92
131,Monteiro,-7.89,31.36,31,100,2.4
132,Laela,-8.57,16.14,86,100,1.08
133,Christiana,-27.91,24.54,46,98,3.48
134,Trairi,-3.28,26.33,70,45,2.08
135,Flin Flon,54.77,-13.0,84,90,4.1
136,Ostrovnoy,68.05,-11.93,97,82,2.68
137,Buenavista,4.36,28.27,42,40,1.5
138,Carutapera,-1.2,27.58,80,100,6.28
139,Alto Araguaia,-17.32,24.19,86,91,2.97
140,Kununurra,-15.77,26.0,94,75,2.6
141,Mahajanga,-15.72,26.0,94,20,1.0
142,Atbasar,51.81,-11.85,96,86,1.53
143,Bilma,18.69,13.52,25,0,3.69
144,Broome,52.47,7.17,87,69,5.7
145,Ewa Beach,21.32,25.22,83,75,5.1
146,Noumea,-22.28,27.29,54,20,1.5
147,Nelson Bay,-32.72,21.93,94,90,4.6
148,Sovetskaya,44.78,-2.22,9,100,5.81
149,Souillac,45.6,4.55,86,90,3.6
150,Kieta,-6.22,28.48,75,48,2.23
151,Codrington,-28.95,24.85,78,49,2.1
152,Port Harcourt,4.77,27.0,69,100,1.0
153,Umm Lajj,25.02,13.39,59,0,3.16
154,Isangel,-19.55,29.0,66,54,4.1
155,Sayat,38.78,-1.0,86,75,2.1
156,Hoa Binh,20.81,21.0,94,75,2.6
157,Champerico,16.38,28.0,42,5,2.6
158,Kindersley,51.47,-4.68,92,90,8.2
159,Airai,-8.93,19.73,78,98,2.12
160,Vardo,39.62,7.59,31,1,6.7
161,Narsaq,60.91,-17.0,28,5,3.6
162,Bambanglipuro,-7.95,23.68,90,92,1.15
163,Beloha,-25.17,23.57,81,28,5.31
164,Desbiens,48.42,-9.84,78,90,1.5
165,Alofi,-19.06,28.0,83,75,1.5
166,Mangrol,25.33,15.55,47,57,3.59
167,Laguna,16.17,23.56,68,100,1.37
168,Cidreira,-30.17,24.88,84,47,7.11
169,Yumen,40.29,-8.48,63,39,5.79
170,Killorglin,52.1,7.23,88,69,4.03
171,Ossora,59.24,-13.33,95,90,3.19
172,Oktyabrskiy,55.61,-1.68,68,90,2.0
173,Bandarbeyla,9.49,26.21,81,7,6.78
174,Buluang,10.47,24.0,94,40,1.5
175,Batesville,35.77,11.39,40,1,1.5
176,Yangmei,21.55,18.6,96,4,3.69
177,Cap Malheureux,-19.98,25.54,94,75,2.17
178,Havre-Saint-Pierre,50.23,-20.0,76,1,1.6
179,Prince Rupert,54.32,1.0,100,90,3.1
180,Pisco,-13.71,22.12,30,0,10.3
181,Matamoros,25.87,24.32,50,1,7.2
182,Chokurdakh,70.62,-29.51,99,28,1.24
183,Mildura,-34.18,17.43,77,0,4.1
184,Andros Town,24.73,22.27,53,75,4.1
185,Mount Gambier,-37.83,11.0,100,42,1.5
186,Yarmouth,43.84,-3.91,79,90,2.6
187,Sitka,37.17,11.11,25,0,8.05
